mandat;mandat-categorie
non mentionné;0
conseiller municipal;1
conseiller général;1
adjoint au maire;1
adjoint;1
maire-adjoint;1
député suppléant;1
maire-adjoint honoraire;1
conseiller municipal délégué;1
adjoint spécial;1
conseiller régional;1
député adjoint;1
conseiller général honoraire;1
élu municipal;1
conseiller régional sortant;1
sénateur suppléant;1
conseiller d'arrondissement;1
maire adjoint;1
conseiller général sortant;1
élu sortant;1
conseiller régional suppléant;1
adjoint de mairie;1
conseiller municipal suppléant;1
élu;1
adjoint-maire;1
vice-maire-adjoint;1
sénateur remplaçant;1
conseiller communautaire;1
conseilller régional;1
conseiller territorial;1
adjoint de la ville;1
élu local;1
élu départemental;1
maire délégué;1
maire;2
maire honoraire;2
maire d'arrondissement;2
maire sortant;2
maire rural;2
maire résident du conseil général;2
sénateur;2
député européen;2
député européen sortant;2
sénateur honoraire;2
députée européenne;2
parlementaire européen;2
membre du parlement européen;2
sénatrice;2
député sortant;3
député;3
sous-secrétaire d'Etat;3
député invalidé;3
secrétaire d'Etat;3
sénateur  député;3
député honoraire;3
membre honoraire du Parlement;3
membre honoraire de l'Assemblée nationale;3
membre honoraire du parlement;3
députée;3
ministre délégué;3
haut commissaire;4
Président de la République par intérim;4
ministre;4
Président du Conseil;4
haut-commissaire;4
ministre hors classe;4
vice-président du Conseil;4
Président de la République;4
président du Conseil;4
Premier ministre;4
premier ministre;4
